iter	Passed	Remaining
0	0	151
1	0	148
2	0	139
3	1	139
4	1	139
5	1	143
6	1	140
7	2	137
8	2	135
9	2	132
10	2	132
11	3	132
12	3	130
13	3	129
14	3	127
15	4	127
16	4	126
17	4	124
18	4	124
19	5	123
20	5	122
21	5	122
22	5	121
23	6	120
24	6	119
25	6	116
26	6	115
27	6	115
28	7	114
29	7	113
30	7	113
31	7	112
32	8	113
33	8	113
34	8	113
35	8	112
36	8	112
37	9	111
38	9	111
39	9	110
40	9	110
41	10	110
42	10	110
43	10	110
44	10	110
45	11	110
46	11	110
47	11	110
48	11	109
49	12	109
50	12	108
51	12	108
52	12	108
53	13	107
54	13	107
55	13	106
56	13	106
57	13	106
58	14	106
59	14	105
60	14	105
61	14	105
62	15	105
63	15	104
64	15	104
65	15	104
66	16	104
67	16	103
68	16	103
69	16	103
70	17	102
71	17	102
72	17	102
73	17	101
74	17	101
75	18	101
76	18	100
77	18	100
78	18	100
79	19	100
80	19	100
81	19	99
82	19	99
83	20	99
84	20	98
85	20	98
86	20	98
87	20	97
88	21	97
89	21	97
90	21	97
91	21	96
92	22	96
93	22	96
94	22	95
95	22	95
96	22	95
97	23	94
98	23	94
99	23	94
100	23	94
101	24	93
102	24	93
103	24	93
104	24	93
105	24	92
106	25	92
107	25	92
108	25	92
109	25	91
110	26	91
111	26	91
112	26	91
113	27	91
114	27	91
115	27	92
116	28	91
117	28	91
118	28	91
119	28	91
120	28	90
121	29	90
122	29	90
123	29	89
124	29	89
125	30	89
126	30	89
127	30	88
128	30	88
129	31	88
130	31	88
131	31	87
132	31	87
133	31	87
134	32	86
135	32	86
136	32	86
137	32	86
138	33	85
139	33	85
140	33	85
141	33	85
142	33	84
143	34	84
144	34	84
145	34	84
146	34	83
147	35	83
148	35	83
149	35	83
150	35	82
151	36	82
152	36	82
153	36	82
154	36	82
155	37	81
156	37	81
157	37	81
158	37	81
159	38	80
160	38	80
161	38	80
162	38	80
163	38	79
164	39	79
165	39	79
166	39	79
167	39	78
168	40	78
169	40	78
170	40	78
171	40	77
172	41	77
173	41	77
174	41	77
175	41	76
176	42	76
177	42	76
178	42	76
179	42	76
180	43	75
181	43	75
182	43	75
183	43	75
184	43	74
185	44	74
186	44	74
187	44	74
188	44	73
189	45	73
190	45	73
191	45	73
192	45	72
193	46	72
194	46	72
195	46	72
196	46	71
197	47	71
198	47	71
199	47	71
200	47	71
201	47	70
202	48	70
203	48	70
204	48	70
205	48	69
206	49	69
207	49	69
208	49	69
209	49	68
210	50	68
211	50	68
212	50	68
213	50	67
214	51	67
215	51	67
216	51	67
217	51	66
218	51	66
219	52	66
220	52	66
221	52	65
222	52	65
223	53	65
224	53	65
225	53	64
226	53	64
227	54	64
228	54	64
229	54	63
230	54	63
231	54	63
232	55	63
233	55	63
234	55	62
235	55	62
236	56	62
237	56	62
238	56	61
239	56	61
240	57	61
241	57	61
242	57	60
243	57	60
244	58	60
245	58	60
246	58	60
247	58	59
248	59	59
249	59	59
250	59	59
251	59	58
252	59	58
253	60	58
254	60	58
255	60	57
256	60	57
257	61	57
258	61	57
259	61	56
260	61	56
261	61	56
262	62	56
263	62	55
264	62	55
265	63	55
266	63	55
267	63	55
268	63	54
269	64	54
270	64	54
271	64	54
272	64	53
273	65	53
274	65	53
275	65	53
276	65	52
277	65	52
278	66	52
279	66	52
280	66	52
281	66	51
282	67	51
283	67	51
284	67	51
285	67	50
286	68	50
287	68	50
288	68	50
289	68	49
290	69	49
291	69	49
292	69	49
293	69	48
294	69	48
295	70	48
296	70	48
297	70	47
298	70	47
299	71	47
300	71	47
301	71	46
302	71	46
303	71	46
304	72	46
305	72	45
306	72	45
307	72	45
308	73	45
309	73	44
310	73	44
311	73	44
312	74	44
313	74	44
314	74	43
315	74	43
316	75	43
317	75	43
318	75	42
319	75	42
320	76	42
321	76	42
322	76	42
323	77	41
324	77	41
325	77	41
326	77	41
327	78	40
328	78	40
329	78	40
330	78	40
331	79	40
332	79	39
333	79	39
334	79	39
335	80	39
336	80	38
337	80	38
338	80	38
339	80	38
340	81	37
341	81	37
342	81	37
343	81	37
344	82	36
345	82	36
346	82	36
347	82	36
348	83	35
349	83	35
350	83	35
351	83	35
352	84	35
353	84	34
354	84	34
355	84	34
356	84	34
357	85	33
358	85	33
359	85	33
360	85	33
361	86	32
362	86	32
363	86	32
364	86	32
365	86	31
366	87	31
367	87	31
368	87	31
369	87	30
370	88	30
371	88	30
372	88	30
373	88	29
374	89	29
375	89	29
376	89	29
377	89	29
378	90	28
379	90	28
380	90	28
381	91	28
382	91	27
383	91	27
384	91	27
385	92	27
386	92	26
387	92	26
388	92	26
389	92	26
390	93	25
391	93	25
392	93	25
393	93	25
394	94	25
395	94	24
396	94	24
397	94	24
398	94	24
399	95	23
400	95	23
401	95	23
402	95	23
403	96	22
404	96	22
405	96	22
406	96	22
407	97	21
408	97	21
409	97	21
410	97	21
411	97	20
412	98	20
413	98	20
414	98	20
415	98	19
416	99	19
417	99	19
418	99	19
419	99	19
420	99	18
421	100	18
422	100	18
423	100	18
424	100	17
425	101	17
426	101	17
427	101	17
428	101	16
429	102	16
430	102	16
431	102	16
432	102	15
433	102	15
434	103	15
435	103	15
436	103	14
437	103	14
438	104	14
439	104	14
440	104	13
441	104	13
442	105	13
443	105	13
444	105	13
445	105	12
446	106	12
447	106	12
448	106	12
449	106	11
450	107	11
451	107	11
452	107	11
453	107	10
454	108	10
455	108	10
456	108	10
457	108	9
458	109	9
459	109	9
460	109	9
461	109	9
462	110	8
463	110	8
464	110	8
465	110	8
466	110	7
467	111	7
468	111	7
469	111	7
470	111	6
471	112	6
472	112	6
473	112	6
474	112	5
475	113	5
476	113	5
477	113	5
478	113	4
479	114	4
480	114	4
481	114	4
482	114	4
483	114	3
484	115	3
485	115	3
486	115	3
487	115	2
488	116	2
489	116	2
490	116	2
491	116	1
492	117	1
493	117	1
494	117	1
495	117	0
496	118	0
497	118	0
498	118	0
499	118	0
