,City,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,"Albuquerque, NM",482442.0,485982.0,505490.0,506706.0,519532.0,540574.0,544579.0,548340.0,549629.0,550317.0,552275.0,553849.0,551049.0,553759.0,553804.0,554784.0,558997.0,554890.0,555391.0
1,"Anchorage, AK",262394.0,273891.0,275489.0,274493.0,281658.0,287257.0,291302.0,294856.0,297153.0,295739.0,293923.0,294284.0,290742.0,287322.0,283494.0,288241.0,285328.0,282911.0,282455.0
2,"Atlanta, GA",388422.0,438135.0,425366.0,447703.0,532685.0,416670.0,427164.0,438201.0,441997.0,449800.0,460327.0,467099.0,481420.0,491120.0,501947.0,492410.0,491005.0,494738.0,505496.0
3,"Austin, TX",665672.0,706505.0,734639.0,763919.0,777744.0,782461.0,809464.0,831672.0,874143.0,900040.0,919721.0,934294.0,938330.0,953463.0,967577.0,954333.0,953064.0,966426.0,970338.0
4,"Baltimore, MD",600543.0,622612.0,627273.0,628349.0,628138.0,612017.0,610849.0,612602.0,612995.0,615275.0,613552.0,607542.0,603746.0,595926.0,586469.0,595287.0,568926.0,563521.0,558241.0
5,"Boise City, ID",188918.0,201771.0,200797.0,205879.0,201725.0,204432.0,207069.0,209490.0,212080.0,214171.0,216629.0,221791.0,224023.0,226820.0,227108.0,226132.0,235797.0,234617.0,233706.0
6,"Boston, MA",511840.0,565420.0,606616.0,603998.0,636866.0,615629.0,618046.0,631408.0,638500.0,648438.0,661446.0,664168.0,676287.0,688679.0,687036.0,681962.0,646938.0,643455.0,645761.0
7,"Charlotte, NC",592140.0,640115.0,663081.0,673310.0,692387.0,725808.0,741987.0,762800.0,784272.0,798163.0,815490.0,830055.0,849948.0,862010.0,872125.0,862707.0,869445.0,885833.0,899656.0
8,"Chicago, IL",2655958.0,2702974.0,2697424.0,2698979.0,2804553.0,2659970.0,2670397.0,2675954.0,2684006.0,2687174.0,2685744.0,2667356.0,2684432.0,2672528.0,2659927.0,2665195.0,2667710.0,2635373.0,2638357.0
9,"Cincinnati, OH",281470.0,297519.0,292841.0,290556.0,327200.0,292618.0,291953.0,292065.0,293077.0,294407.0,294953.0,294003.0,296183.0,296698.0,300216.0,297749.0,306069.0,306207.0,307941.0
10,"Cleveland, OH",409774.0,401415.0,390736.0,402071.0,425334.0,391838.0,389490.0,386729.0,383823.0,384180.0,383529.0,381509.0,380695.0,378633.0,376088.0,378932.0,364392.0,357719.0,358939.0
11,"Columbus, OH",680756.0,705847.0,719362.0,725316.0,760540.0,778002.0,786775.0,798718.0,809934.0,823548.0,836248.0,849806.0,868634.0,883234.0,887026.0,876171.0,895229.0,895858.0,897432.0
12,"Corpus Christi, TX",275770.0,282006.0,286637.0,279830.0,282832.0,301043.0,303874.0,308933.0,311876.0,315889.0,319506.0,320973.0,321105.0,322213.0,323533.0,322457.0,313987.0,312328.0,312450.0
13,"Dallas, TX",1121138.0,1170743.0,1217815.0,1200940.0,1272539.0,1184310.0,1206334.0,1222427.0,1242023.0,1260677.0,1278532.0,1296979.0,1320642.0,1328601.0,1321238.0,1319420.0,1270447.0,1279926.0,1287866.0
14,"Denver, CO",530860.0,554747.0,577696.0,587611.0,600376.0,595003.0,610005.0,624608.0,639929.0,655069.0,672556.0,683757.0,697290.0,706987.0,719506.0,707712.0,703702.0,705387.0,708432.0
15,"Detroit, MI",823511.0,821700.0,798762.0,767540.0,898565.0,702073.0,696759.0,692752.0,679356.0,670586.0,668337.0,661751.0,664366.0,662750.0,661408.0,662568.0,623360.0,613581.0,625759.0
16,"El Paso, TX",575784.0,586413.0,594865.0,591780.0,610601.0,644368.0,657257.0,662606.0,664766.0,668153.0,671239.0,670453.0,672291.0,672715.0,672792.0,669397.0,669399.0,668196.0,669744.0
17,"Fresno, CA",468823.0,468894.0,467164.0,466448.0,471218.0,488690.0,493749.0,497408.0,502698.0,508501.0,510470.0,511751.0,520357.0,522717.0,525068.0,518790.0,536835.0,536994.0,539014.0
18,"Greensboro, NC",204824.0,226486.0,243630.0,241167.0,250812.0,266649.0,269849.0,273338.0,275796.0,279004.0,282359.0,282916.0,285957.0,292137.0,292848.0,290709.0,296294.0,297054.0,298516.0
19,"Houston, TX",1905895.0,2039957.0,2011629.0,1986684.0,2218541.0,2073046.0,2115408.0,2133021.0,2163581.0,2210650.0,2261829.0,2266947.0,2274143.0,2291172.0,2286546.0,2279884.0,2257448.0,2273980.0,2276308.0
20,"Jacksonville, FL",757882.0,786686.0,794748.0,803211.0,802746.0,812641.0,816038.0,825648.0,830415.0,840567.0,856748.0,867624.0,878097.0,892080.0,899706.0,888817.0,942505.0,959782.0,974186.0
21,"Las Vegas, NV",528473.0,560829.0,553578.0,569515.0,559097.0,575534.0,582173.0,588099.0,597206.0,605351.0,617053.0,624769.0,633800.0,635560.0,644570.0,637070.0,641571.0,648195.0,654018.0
22,"Lincoln, NE",223109.0,234325.0,247031.0,247842.0,249098.0,254368.0,258650.0,261359.0,264584.0,269243.0,273177.0,275990.0,281049.0,284431.0,285821.0,283091.0,290231.0,289143.0,291913.0
23,"Los Angeles, CA",3667157.0,3716869.0,3753202.0,3740735.0,3776167.0,3752432.0,3771714.0,3810433.0,3839847.0,3880840.0,3921617.0,3934268.0,3956252.0,3947470.0,3935598.0,3933092.0,3808901.0,3783898.0,3783801.0
24,"Madison, WI",201607.0,211547.0,219697.0,221750.0,233059.0,231057.0,234200.0,236996.0,240630.0,242991.0,246768.0,248956.0,252763.0,255497.0,256526.0,255579.0,266909.0,270818.0,278318.0
25,"Memphis, TN",630694.0,630626.0,628260.0,622802.0,664468.0,639074.0,643966.0,644689.0,642845.0,649380.0,646507.0,644105.0,645006.0,640895.0,643396.0,642416.0,620039.0,611769.0,609736.0
26,"Milwaukee, WI",547275.0,552369.0,571962.0,570813.0,596117.0,585667.0,589185.0,590189.0,590337.0,592299.0,592277.0,587264.0,587109.0,584202.0,581896.0,584166.0,562597.0,558292.0,555962.0
27,"Minneapolis, MN",344377.0,363023.0,345870.0,354669.0,379856.0,377496.0,383230.0,387471.0,394721.0,400388.0,405097.0,406880.0,417374.0,420132.0,423224.0,419286.0,421177.0,419839.0,419780.0
28,"Montgomery, AL",188771.0,199887.0,198500.0,193758.0,197562.0,204201.0,209881.0,202186.0,198604.0,198068.0,198287.0,197940.0,197258.0,195688.0,196772.0,196833.0,196797.0,194932.0,193246.0
29,"New Orleans, LA",430797.0,219421.0,237322.0,308090.0,350546.0,343697.0,356135.0,364911.0,374354.0,380332.0,384261.0,386312.0,389799.0,386611.0,385945.0,387468.0,372680.0,365057.0,359843.0
30,"Omaha, NE",367570.0,376136.0,368322.0,382393.0,447351.0,402754.0,408861.0,415971.0,428796.0,439363.0,438025.0,441230.0,460242.0,460915.0,470662.0,472540.0,481080.0,477774.0,478300.0
