,City,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,"Abilene, TX",35246.0,37578.0,38502.0,38968.0,41957.0,40244.0,38403.0,41197.0,43059.0,43198.0,44176.0
1,"Akron, OH",32937.0,31566.0,32928.0,32499.0,32892.0,31171.0,31392.0,32645.0,34300.0,34781.0,34639.0
2,"Albuquerque, NM",41820.0,43021.0,43677.0,46437.0,44594.0,46079.0,43606.0,45373.0,48357.0,46433.0,47096.0
3,"Alexandria, VA",66116.0,80449.0,80806.0,86682.0,77095.0,77793.0,82748.0,81160.0,86775.0,86809.0,90056.0
4,"Allentown, PA",33658.0,34834.0,36074.0,39036.0,33664.0,32192.0,30784.0,36158.0,36655.0,39549.0,37146.0
5,"Amarillo, TX",34996.0,39077.0,39915.0,42360.0,41759.0,44826.0,44563.0,46028.0,45818.0,50003.0,50192.0
6,"Anaheim, CA",52158.0,55720.0,57059.0,61128.0,55154.0,54157.0,56858.0,55464.0,57550.0,62198.0,63104.0
7,"Anchorage, AK",61217.0,63656.0,68726.0,75637.0,72832.0,72128.0,72813.0,72575.0,79045.0,76337.0,78662.0
8,"Arlington, VA",80433.0,87350.0,94876.0,101171.0,96218.0,94986.0,100735.0,100474.0,102501.0,109266.0,106768.0
9,"Arlington, TX",48992.0,50582.0,50447.0,52777.0,50938.0,48752.0,50655.0,51285.0,51400.0,52141.0,53487.0
10,"Arvada, CO",61353.0,63172.0,62672.0,66353.0,66378.0,61046.0,65063.0,61921.0,69581.0,72031.0,69596.0
11,"Atlanta, GA",39752.0,41612.0,47153.0,48865.0,49981.0,41631.0,43903.0,46466.0,46485.0,46777.0,50210.0
12,"Aurora, CO",48309.0,47471.0,46937.0,46684.0,45904.0,50358.0,49593.0,50512.0,49142.0,54702.0,58445.0
13,"Aurora, IL",55950.0,56566.0,62160.0,60696.0,59844.0,60786.0,62461.0,58675.0,60809.0,68304.0,63355.0
14,"Austin, TX",43731.0,47212.0,48966.0,51372.0,50132.0,47434.0,49987.0,52453.0,56351.0,58458.0,62250.0
15,"Bakersfield, CA",45174.0,51421.0,51664.0,50409.0,52677.0,53038.0,51667.0,53693.0,54763.0,58154.0,61039.0
16,"Baltimore, MD",32456.0,36031.0,36949.0,40313.0,38772.0,38346.0,38721.0,39241.0,42266.0,42665.0,44165.0
17,"Baton Rouge, LA",31049.0,36195.0,32984.0,37869.0,36917.0,33748.0,36894.0,38806.0,38321.0,38085.0,41224.0
18,"Beaumont, TX",32183.0,37859.0,36795.0,42116.0,40435.0,35174.0,36746.0,35859.0,40322.0,40113.0,47570.0
19,"Bellevue, WA",69880.0,76757.0,78708.0,79954.0,82408.0,80500.0,83518.0,91449.0,92942.0,95146.0,98804.0
20,"Birmingham, AL",27020.0,29251.0,31359.0,32630.0,30481.0,30212.0,28646.0,30701.0,31152.0,30043.0,32378.0
21,"Boise City, ID",46342.0,49692.0,48545.0,52169.0,47898.0,44410.0,41474.0,47446.0,47847.0,51750.0,55309.0
22,"Boston, MA",42562.0,47974.0,50476.0,51688.0,55979.0,49893.0,49081.0,51642.0,53583.0,56902.0,58263.0
23,"Bridgeport, CT",36976.0,35736.0,44216.0,38033.0,39949.0,38919.0,35379.0,37571.0,42687.0,41846.0,42420.0
24,"Brownsville, TX",24207.0,26017.0,28623.0,27679.0,32131.0,30454.0,31850.0,29619.0,33821.0,32377.0,34050.0
25,"Buffalo, NY",27311.0,27850.0,29706.0,29973.0,29285.0,28490.0,29158.0,30422.0,32392.0,31919.0,32509.0
26,"Cape Coral, FL",46933.0,54026.0,53026.0,51852.0,48043.0,44803.0,47478.0,48619.0,47767.0,50931.0,51464.0
27,"Carrollton, TX",60482.0,68589.0,63120.0,71865.0,64094.0,67069.0,67602.0,66329.0,64188.0,69505.0,67365.0
28,"Cary town, NC",77395.0,80986.0,89702.0,91947.0,83292.0,88031.0,82509.0,86151.0,89405.0,92000.0,95374.0
29,"Cedar Rapids, IA",47357.0,42510.0,46734.0,47463.0,48953.0,51186.0,50528.0,51429.0,49809.0,60845.0,51011.0
30,"Centennial, CO",75313.0,82463.0,80866.0,89090.0,83110.0,79690.0,80288.0,88598.0,90200.0,91354.0,96634.0
31,"Chandler, AZ",62010.0,68007.0,70456.0,69278.0,68258.0,67648.0,69260.0,70122.0,71545.0,73062.0,75562.0
32,"Charlotte, NC",47131.0,48670.0,52690.0,52530.0,49779.0,49616.0,50177.0,50950.0,51034.0,55178.0,53919.0
33,"Chattanooga, TN",32174.0,36981.0,35559.0,36289.0,35333.0,35817.0,32791.0,40116.0,39475.0,41456.0,40004.0
34,"Chesapeake, VA",60817.0,62126.0,63517.0,67996.0,64405.0,68955.0,66563.0,65562.0,67252.0,66712.0,67491.0
35,"Chicago, IL",41015.0,43223.0,45505.0,46911.0,45734.0,44776.0,43628.0,45214.0,47099.0,48734.0,50702.0
36,"Chula Vista, CA",55610.0,56303.0,60986.0,65466.0,59045.0,66246.0,59585.0,62421.0,60882.0,67911.0,66868.0
37,"Cincinnati, OH",29554.0,31103.0,33006.0,33562.0,32754.0,34110.0,31301.0,30188.0,34605.0,32688.0,35001.0
