,City,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,"Albuquerque, NM",35.8,35.3,35.2,35.5,34.0,35.2,35.5,35.3,35.8,35.7,36.0
1,"Atlanta, GA",34.7,35.0,35.0,35.7,33.4,33.2,32.7,33.1,33.1,33.5,33.8
2,"Austin, TX",31.4,31.2,31.4,31.7,31.2,30.9,31.3,31.7,32.0,32.6,32.7
3,"Baltimore, MD",35.7,35.6,35.4,35.5,34.0,34.4,34.2,34.2,34.6,34.6,34.7
4,"Boston, MA",33.1,33.6,33.4,33.3,32.0,30.8,30.9,31.0,31.7,31.7,31.8
5,"Buffalo, NY",34.2,35.7,35.0,32.0,34.7,32.8,33.7,32.8,33.4,32.7,33.1
6,"Charlotte, NC",33.8,34.7,34.3,35.0,33.3,33.2,33.7,33.3,33.3,33.8,34.3
7,"Chicago, IL",33.1,33.6,34.1,34.0,32.9,32.8,33.0,33.6,33.7,33.9,34.2
8,"Cincinnati, OH",33.3,34.9,35.3,36.6,32.6,32.5,32.9,32.0,32.5,33.0,32.7
9,"Cleveland, OH",35.3,36.9,37.0,36.9,36.8,37.0,37.7,35.8,34.9,34.8,36.0
10,"Columbus, OH",32.1,32.5,32.5,32.5,31.5,31.6,31.6,32.0,32.3,31.9,32.5
11,"Dallas, TX",31.9,31.9,31.9,31.9,31.6,31.6,31.6,32.4,32.1,32.4,32.6
12,"Denver, CO",34.3,35.0,35.3,35.4,33.0,33.6,33.6,33.7,34.1,34.2,34.1
13,"Detroit, MI",32.5,33.0,33.7,35.0,34.7,35.1,35.2,35.1,35.2,35.1,34.8
14,"Fresno, CA",28.1,28.8,29.1,28.9,29.1,28.9,29.4,30.2,30.0,30.5,30.0
15,"Houston, TX",32.3,32.2,32.9,32.9,31.9,32.2,32.2,32.5,32.7,32.7,32.6
16,"Jacksonville, FL",35.2,35.6,35.9,36.4,34.6,35.4,35.6,35.5,35.8,35.8,35.7
17,"Memphis, TN",33.0,33.7,33.9,34.3,33.3,33.4,33.6,33.2,33.0,33.8,34.1
18,"Miami, FL",39.1,39.2,39.9,41.2,38.8,39.1,39.4,38.8,38.9,39.9,40.4
19,"Milwaukee, WI",31.8,32.2,31.9,32.0,31.3,30.5,31.0,30.5,31.1,31.6,31.6
20,"Minneapolis, MN",32.1,33.6,35.3,34.1,31.6,31.7,32.3,31.4,32.1,31.8,32.4
21,"Omaha, NE",34.1,34.4,34.5,34.9,33.1,33.6,34.0,33.5,34.2,34.2,34.2
22,"Orlando, FL",33.2,33.1,31.8,34.2,32.3,32.4,33.0,32.4,33.6,33.5,33.1
23,"Philadelphia, PA",35.3,35.4,35.6,35.7,34.2,33.5,33.4,33.6,33.7,33.8,34.1
24,"Phoenix, AZ",30.9,31.7,31.4,32.2,31.4,32.4,32.8,32.9,32.8,33.2,33.8
25,"Pittsburgh, PA",38.4,37.9,36.6,36.2,34.5,33.0,34.4,33.0,33.7,32.8,32.9
26,"Portland, OR",36.4,37.1,37.8,37.3,35.3,35.5,35.7,36.6,36.6,37.1,36.7
27,"Raleigh, NC",32.6,32.2,32.3,32.3,31.8,32.2,32.2,32.4,32.8,32.4,32.8
28,"Sacramento, CA",33.0,33.2,33.6,33.3,32.9,33.4,33.1,34.2,34.1,33.6,33.7
29,"Seattle, WA",36.8,37.7,37.9,38.3,36.7,36.2,35.8,35.9,36.1,36.4,35.5
30,"Tampa, FL",36.2,35.1,35.4,35.8,34.8,33.7,35.1,34.4,35.5,35.5,35.3
31,"Tucson, AZ",32.4,32.6,33.0,33.2,33.1,32.8,33.8,33.3,33.3,33.4,33.6
32,"Tulsa, OK",35.3,36.1,35.6,35.8,34.9,35.1,34.8,34.8,34.7,35.4,35.0
33,"Washington, DC",35.9,35.0,34.9,34.9,35.1,33.9,33.4,33.7,33.8,33.8,33.8
34,"Wichita, KS",34.2,34.8,35.0,34.0,34.3,33.9,34.3,35.1,34.0,34.0,34.6
