,City,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,"Albuquerque, NM",35.8,35.3,35.2,35.5,34.0,35.2,35.5,35.3,35.8,35.7,36.0,36.5,37.0,37.2,37.3,37.1,38.9,38.4,39.2
1,"Anchorage, AK",33.8,33.5,33.3,33.4,32.3,32.7,32.9,33.0,32.4,32.1,32.2,33.0,34.0,34.3,34.2,33.9,35.2,35.4,36.0
2,"Atlanta, GA",34.7,35.0,35.0,35.7,33.4,33.2,32.7,33.1,33.1,33.5,33.8,33.0,33.3,33.2,33.3,33.2,34.3,34.0,34.5
3,"Austin, TX",31.4,31.2,31.4,31.7,31.2,30.9,31.3,31.7,32.0,32.6,32.7,32.7,33.4,33.6,33.9,33.7,34.4,34.5,34.9
4,"Baltimore, MD",35.7,35.6,35.4,35.5,34.0,34.4,34.2,34.2,34.6,34.6,34.7,34.9,35.3,35.5,35.9,35.5,36.1,36.5,36.5
5,"Boise City, ID",35.2,35.1,35.3,34.8,34.6,36.3,35.7,36.4,35.3,35.5,34.9,35.3,36.1,37.9,37.6,37.5,37.2,37.9,39.0
6,"Boston, MA",33.1,33.6,33.4,33.3,32.0,30.8,30.9,31.0,31.7,31.7,31.8,32.1,32.3,32.1,32.6,32.4,33.0,33.3,33.7
7,"Charlotte, NC",33.8,34.7,34.3,35.0,33.3,33.2,33.7,33.3,33.3,33.8,34.3,34.0,34.4,34.7,34.2,34.4,34.8,34.5,34.7
8,"Chicago, IL",33.1,33.6,34.1,34.0,32.9,32.8,33.0,33.6,33.7,33.9,34.2,34.4,34.6,34.9,35.2,34.8,35.8,35.8,36.4
9,"Cincinnati, OH",33.3,34.9,35.3,36.6,32.6,32.5,32.9,32.0,32.5,33.0,32.7,32.2,32.7,33.0,32.5,32.4,32.5,33.5,34.1
10,"Cleveland, OH",35.3,36.9,37.0,36.9,36.8,37.0,37.7,35.8,34.9,34.8,36.0,36.4,36.2,36.3,35.5,36.3,36.3,36.8,36.3
11,"Columbus, OH",32.1,32.5,32.5,32.5,31.5,31.6,31.6,32.0,32.3,31.9,32.5,32.3,32.2,32.3,32.4,32.4,33.1,33.3,33.4
12,"Corpus Christi, TX",33.5,34.2,33.8,34.4,33.3,34.2,34.6,34.7,34.7,34.8,35.0,35.1,35.3,35.3,35.3,35.3,36.4,36.7,36.8
13,"Dallas, TX",31.9,31.9,31.9,31.9,31.6,31.6,31.6,32.4,32.1,32.4,32.6,32.7,32.4,33.3,32.9,32.9,33.7,33.1,33.5
14,"Denver, CO",34.3,35.0,35.3,35.4,33.0,33.6,33.6,33.7,34.1,34.2,34.1,34.4,34.5,34.6,34.7,34.6,35.1,35.1,35.4
15,"Detroit, MI",32.5,33.0,33.7,35.0,34.7,35.1,35.2,35.1,35.2,35.1,34.8,34.0,34.6,35.0,35.0,34.6,35.3,35.3,35.2
16,"El Paso, TX",31.5,31.7,32.2,32.3,31.6,32.8,32.1,32.2,32.2,33.1,33.1,32.6,33.4,33.1,32.9,33.0,34.3,34.1,35.3
17,"Fresno, CA",28.1,28.8,29.1,28.9,29.1,28.9,29.4,30.2,30.0,30.5,30.0,30.9,31.5,31.5,31.8,31.4,32.9,32.4,32.8
18,"Greensboro, NC",35.8,34.3,33.7,34.6,33.9,34.5,33.8,33.6,34.8,34.5,35.5,34.3,36.4,35.6,34.7,34.4,36.3,34.1,34.9
19,"Houston, TX",32.3,32.2,32.9,32.9,31.9,32.2,32.2,32.5,32.7,32.7,32.6,33.0,33.1,33.1,33.4,33.3,34.8,34.6,34.5
20,"Jacksonville, FL",35.2,35.6,35.9,36.4,34.6,35.4,35.6,35.5,35.8,35.8,35.7,35.7,35.8,36.0,36.1,35.9,36.6,36.5,36.9
21,"Las Vegas, NV",34.8,35.2,36.0,35.7,33.7,36.8,35.9,37.1,36.6,35.9,37.5,38.1,37.8,38.1,36.8,37.7,39.6,38.6,39.2
22,"Lincoln, NE",33.3,32.1,31.6,32.4,30.2,31.6,32.1,32.3,32.1,32.5,32.3,32.6,32.9,32.9,33.5,32.9,33.3,33.9,33.8
23,"Los Angeles, CA",33.3,33.4,33.9,34.1,33.7,34.0,34.4,34.7,34.7,35.0,35.0,35.6,35.8,35.8,35.9,35.9,37.0,37.1,37.2
24,"Madison, WI",31.7,32.3,30.6,32.6,29.1,30.8,30.5,30.3,31.3,31.4,30.7,31.2,31.3,30.5,31.7,31.2,32.3,32.2,32.5
25,"Memphis, TN",33.0,33.7,33.9,34.3,33.3,33.4,33.6,33.2,33.0,33.8,34.1,33.8,33.6,34.3,34.6,34.2,34.3,34.7,33.9
26,"Milwaukee, WI",31.8,32.2,31.9,32.0,31.3,30.5,31.0,30.5,31.1,31.6,31.6,31.0,31.9,31.5,31.5,31.4,32.3,32.6,32.6
27,"Minneapolis, MN",32.1,33.6,35.3,34.1,31.6,31.7,32.3,31.4,32.1,31.8,32.4,32.0,32.4,32.2,32.2,32.3,33.5,33.3,33.3
28,"Montgomery, AL",35.4,33.7,33.8,34.8,33.0,34.0,33.5,34.6,34.5,34.8,35.4,35.5,36.0,36.0,35.6,36.0,36.1,36.1,37.0
29,"New Orleans, LA",35.2,40.6,39.8,38.5,36.5,34.7,34.9,34.8,35.4,35.8,35.9,35.7,36.7,37.3,38.3,37.2,38.3,38.8,39.5
30,"Omaha, NE",34.1,34.4,34.5,34.9,33.1,33.6,34.0,33.5,34.2,34.2,34.2,34.7,34.5,35.1,34.6,34.9,35.6,35.3,35.9
31,"Orlando, FL",33.2,33.1,31.8,34.2,32.3,32.4,33.0,32.4,33.6,33.5,33.1,33.1,33.0,33.9,34.6,33.9,35.7,36.0,35.3
32,"Philadelphia, PA",35.3,35.4,35.6,35.7,34.2,33.5,33.4,33.6,33.7,33.8,34.1,34.1,34.4,34.5,34.7,34.6,35.2,35.1,35.6
33,"Phoenix, AZ",30.9,31.7,31.4,32.2,31.4,32.4,32.8,32.9,32.8,33.2,33.8,33.4,33.8,33.5,34.4,33.9,34.5,35.1,34.9
34,"Pittsburgh, PA",38.4,37.9,36.6,36.2,34.5,33.0,34.4,33.0,33.7,32.8,32.9,33.5,33.3,34.0,33.3,33.4,34.2,33.1,34.1
35,"Portland, OR",36.4,37.1,37.8,37.3,35.3,35.5,35.7,36.6,36.6,37.1,36.7,36.7,36.8,37.6,37.5,37.5,38.3,38.5,39.4
