,Dropoff Location,Year,TruckingCost
0,"Albuquerque, NM",2005,2110.947612903226
1,"Albuquerque, NM",2006,2183.914451612903
2,"Albuquerque, NM",2007,2136.4011612903223
3,"Albuquerque, NM",2008,1914.1068387096773
4,"Albuquerque, NM",2009,1568.7870322580645
5,"Albuquerque, NM",2010,1750.355677419355
6,"Albuquerque, NM",2011,1882.7141290322581
7,"Albuquerque, NM",2012,1904.7738709677421
8,"Albuquerque, NM",2013,1886.107935483871
9,"Albuquerque, NM",2014,1957.377870967742
10,"Albuquerque, NM",2015,1882.7141290322581
11,"Albuquerque, NM",2016,1847.9276129032257
12,"Albuquerque, NM",2017,1949.741806451613
13,"Albuquerque, NM",2018,2079.554903225807
14,"Albuquerque, NM",2019,1997.2550967741938
15,"Albuquerque, NM",2020,1842.8369032258067
16,"Albuquerque, NM",2021,2023.5570967741935
17,"Albuquerque, NM",2022,2041.3745806451616
18,"Albuquerque, NM",2023,1940.4088387096774
19,"Atlanta, GA",2005,2039.851570247934
20,"Atlanta, GA",2006,2110.360909090909
21,"Atlanta, GA",2007,2064.4478512396695
22,"Atlanta, GA",2008,1849.6403305785122
23,"Atlanta, GA",2009,1515.9507851239669
24,"Atlanta, GA",2010,1691.4042561983472
25,"Atlanta, GA",2011,1819.3049173553718
26,"Atlanta, GA",2012,1840.6216942148762
27,"Atlanta, GA",2013,1822.5844214876033
28,"Atlanta, GA",2014,1891.4540082644628
29,"Atlanta, GA",2015,1819.3049173553718
30,"Atlanta, GA",2016,1785.69
31,"Atlanta, GA",2017,1884.0751239669423
32,"Atlanta, GA",2018,2009.5161570247935
33,"Atlanta, GA",2019,1929.9881818181818
34,"Atlanta, GA",2020,1780.770743801653
35,"Atlanta, GA",2021,1955.404338842975
36,"Atlanta, GA",2022,1972.6217355371903
37,"Atlanta, GA",2023,1875.0564876033059
38,"Austin, TX",2005,2290.0936451612906
39,"Austin, TX",2006,2369.2528306451613
40,"Austin, TX",2007,2317.707314516129
41,"Austin, TX",2008,2076.547935483871
42,"Austin, TX",2009,1701.9224879032258
43,"Austin, TX",2010,1898.8999959677421
44,"Austin, TX",2011,2042.4910766129033
45,"Austin, TX",2012,2066.422923387097
46,"Austin, TX",2013,2046.1728991935483
47,"Austin, TX",2014,2123.4911733870968
48,"Austin, TX",2015,2042.4910766129033
49,"Austin, TX",2016,2004.7523951612905
50,"Austin, TX",2017,2115.207072580645
51,"Austin, TX",2018,2256.0367862903227
52,"Austin, TX",2019,2166.7525887096776
53,"Austin, TX",2020,1999.2296612903228
54,"Austin, TX",2021,2195.2867137096773
55,"Austin, TX",2022,2214.6162822580645
56,"Austin, TX",2023,2105.082060483871
57,"Baltimore, MD",2005,2225.5931472868215
58,"Baltimore, MD",2006,2302.5228139534884
59,"Baltimore, MD",2007,2252.4290775193795
60,"Baltimore, MD",2008,2018.061953488372
61,"Baltimore, MD",2009,1653.9878333333334
62,"Baltimore, MD",2010,1845.4174689922481
63,"Baltimore, MD",2011,1984.9643062015502
64,"Baltimore, MD",2012,2008.222112403101
65,"Baltimore, MD",2013,1988.542430232558
66,"Baltimore, MD",2014,2063.6830348837207
67,"Baltimore, MD",2015,1984.9643062015502
68,"Baltimore, MD",2016,1948.2885348837208
69,"Baltimore, MD",2017,2055.6322558139536
70,"Baltimore, MD",2018,2192.4955
71,"Baltimore, MD",2019,2105.725992248062
72,"Baltimore, MD",2020,1942.9213488372095
73,"Baltimore, MD",2021,2133.456453488372
74,"Baltimore, MD",2022,2152.241604651163
75,"Baltimore, MD",2023,2045.7924147286822
76,"Boston, MA",2005,2605.892923076923
77,"Boston, MA",2006,2695.968
78,"Boston, MA",2007,2637.3144615384617
79,"Boston, MA",2008,2362.8996923076925
80,"Boston, MA",2009,1936.614153846154
81,"Boston, MA",2010,2160.754461538462
82,"Boston, MA",2011,2324.1464615384616
83,"Boston, MA",2012,2351.378461538462
84,"Boston, MA",2013,2328.3360000000002
85,"Boston, MA",2014,2416.316307692308
86,"Boston, MA",2015,2324.1464615384616
87,"Boston, MA",2016,2281.2036923076926
88,"Boston, MA",2017,2406.8898461538465
89,"Boston, MA",2018,2567.1396923076927
90,"Boston, MA",2019,2465.543384615385
91,"Boston, MA",2020,2274.919384615385
92,"Boston, MA",2021,2498.012307692308
